category,title,body
Career,5 Careers in Sports and How to Score One,"<h1><b>5 Careers in Sports and How to Score One</b><b></b></h1> <p>Although most people who love sports will never land a job on a professional team as a player, coach or manager, there are plenty of great careers in sports for non-athletes. With experience and perseverance, you can pursue and land a job in sports. Here are five careers in the sports industry that are in demand.</p> <h3><b>Physical Therapist</b></h3> <p>For those who want to be involved with sports medicine, physical therapy is a good avenue. The Bureau of Labor Statistics (BLS) reports that the job outlook for this profession is excellent. Many athletes sustain injuries, and its the job of the physical therapist to help the athlete manage pain and improve movement of the injured area. A masters degree and licensing is usually required.</p> <h3><b>Sports Psychologist</b></h3> <p>Many sports psychologists work directly with athletes to improve their mental health and emotional well-being. Psychologists help athletes with a wide range of issues, such as performance problems, stress reduction, injuries and coping skills. According to the BLS, the job outlook for psychologists will grow nearly 22 percent by 2020. Most psychologists need a master's degree; many also possess a doctorate.</p> <h3><b>Sports Agent</b></h3> <p>A sports agent represents professional athletes, marketing them to prospective teams, negotiating salaries and contracts and obtaining endorsement deals. Most agents handle all legal and financial issues related to managing the athlete. While some agents have no formal education in the field, aspiring agents often have a degree in sports management or sports business. There is a wider range of paths to becoming a sports agent than there are for other sports-related careers.</p> <h3><b>Public Relations Specialist</b></h3> <p>The public image of individual athletes and professional teams is important throughout the world of sports. Public relations (PR) specialists create media materials such as press releases to keep their clients in the spotlight while working with the media to maintain a positive public image for a team and its players. Many people who work in sports as a PR specialist have a degree in communications, journalism or business. The job outlook in the public relations field is strong.<b></b></p> <h3><b>Sports Merchandising</b></h3> <p>Selling sports merchandise is big business for both professional and collegiate athletic teams. The merchandise includes shirts, caps, sweatshirts, mugs and other paraphernalia that include the team's logo, mascot or name. Sales reps sell this merchandise at sporting events, in retail stores and online. A degree is often unnecessary to sell sports merchandise.</p> <h3><b>Getting a Job in Sports</b></h3> <p>It always helps to know someone. Work your network. Chances are you know at least one person who can make an introduction.</p><p>Another way to find a job in sports is by applying for jobs you find on job boards such as <a href=""http://www.simplyhired.com/a/jobs/list/q-sports"">Simply Hired</a>. These job boards offer a wide variety of openings in professional sports and other sports-related fields.</p> <p>If you are looking for a job you will be passionate about, take a look at careers in sports.You might find a field that truly interests you and allows you to work in professional sports.</p>"
Career,5 Careers with Animals,"<h1>5 Careers with Animals</h1><p><a></a></p><p></p><p>If you love animals and would enjoy spending your days with them, a career working with animals might be perfect for you. There are hundreds of different jobs that involve working with animals. Here are five of them that allow you to work closely with animals every day.</p><h3>Animal Groomer</h3><p></p><p>Animal groomers clean, brush and trim animals' coats, clip their nails, brush their teeth and perform other grooming tasks. Groomers can specialize in household pets, such as dogs, or larger animals, such as horses. A pet groomer can learn the trade either through on-the-job training or by attending a state-licensed grooming school. Groomers work in grooming businesses, pet supply stores, kennels and stables.</p><p></p><p>Becoming an animal groomer is a also good job for someone who wants to own their own business or who has a rapport with both animals and people. In 2010, the median pay for animal care and service workers was $19,780 per year, and the <a href=""http://www.bls.gov/ooh/"">annual job growth</a> for the next decade is expected to be greater than average.</p><h3>Animal Trainer</h3><p></p><p>If you have an affinity for a specific animal species, becoming an animal trainer allows you to use your ""animal-whisperer"" skills with your favorite animal. People most commonly train dogs or horses, but there are also trainers for marine animals, circus animals and TV and movie animals.</p><p></p><p><a></a>Dogs are trained for the widest variety of tasks. They provide security, assist people with disabilities and work as police dogs, search and rescue dogs and pet therapy animals. To become a trainer, you will need to complete training and acquire the certification of the governing body for your specialty. For example, dog trainers should be Certified Pet Dog Trainers, and service animal (working dog) trainers need extra training for their occupation.</p><h3>Wildlife Rehabilitator</h3><p></p><p>For those who want to help wild animals and birds, wildlife rehabilitation offers a rewarding career. For a job in this field, you should have at least a university degree in biology or ecology, and you must complete courses and seminars to learn how to care for wildlife and qualify for government-issued licenses and permits.</p><p></p><p>Job duties vary widely, and many require specialized skills. The <a href=""http://www.nwrawildlife.org/"">National Wildlife Rehabilitators Association</a>recently listed over 40 open jobs ranging from internships to executive director positions. Income depends on the type of job, but it is comparable to similar work in other nonprofit organizations.</p><h3>Veterinary Technician</h3><p></p><p>Veterinary technicians are a vital part of animal medicine and health. They work with veterinarians, performing medical tests and assisting in the treatment of ill or injured animals.</p><p></p><p>To become a veterinary technician, you need a two-year associate's degree in a post-secondary VT program. With a more advanced, four-year bachelor's degree you can become a veterinary technologist. VTs earned a median pay of $39,710 per year in 2010, and the <a href=""http://www.bls.gov/ooh/"">job outlook</a> is excellent, with demand predicted to grow by 52 percent in the next 10 years.</p><h3>Veterinarian</h3><p></p><p>The profession of veterinarian is the highest paying one in animal care and also the one requiring the most education. To become a veterinarian, you must complete an accredited program at a college of veterinary medicine. Admission is competitive, and most applicants already have a bachelor's degree. After receiving a DVM, veterinarians can train in 40 different specialties. A veterinarian can expect to earn between $50,000 and $145,000 a year, depending on the type of practice. Interestingly, the lowest starting salary is for vets who work with horses, perhaps because these jobs take place outside of high-cost cities.</p><p></p><p>Careers with animals cover such a broad range of possibilities that anyone who loves working with animals and is motivated and educated should be able to build a satisfying future in this field.</p><p><a href=""http://www.nwrawildlife.org""></a></p>"
Career,5 Successful People Who Started New Careers After 40,"<h1>5 Successful People Who Started New Careers After 40</h1><p>The phrase <i>""</i>It's never too late to teach an old dog new tricks"" isn't just something that pertains to our canine friends. It can be applied to people as well. If there is one thing at which people are capable, it is the ability to adapt. Using that ability, we can take on challenges that at first glance or thought would seem impossible. Flexibility can be put to use in just about any phase of life, but it is especially effective when considering new careers after 40. Here are some great examples of getting started in a new career later in life.</p><h3><b>Ronald Reagan</b> </h3><p>While most of us know Ronald Reagan from his time as president, he was also a fairly successful actor earlier in his life. He even served as president of the Screen Actors Guild. Reagan was 55 years old when he was elected to his first political office, becoming the Governor of California in 1966. Being the spokesman for General Electric, as well as an actor, might not seem like surefire ingredients for a two-term president, but it worked quite well in his case.</p><h3><b>Jack Cover</b></h3><p>Probably the least recognizable name on this list is Jack Cover. While his name might not jump out at you, chances are you know about his invention, the Taser. The early years of Cover's life are impressive; he was a nuclear physicist and worked in the fields of defense and aerospace, even helping his agency become one of the major contributors to NASA's Apollo space program. While Cover was busy in his early avionics career, he followed the news closely. He was compelled by stories of hijackings and invented a non-lethal weapon that is now used in more than 13,000 police and military installations and by nearly 185,000 people globally. Cover was 50 when he began his new career and his new company, Taser, Inc.</p><h3><b>Grandma Moses</b></h3><p>Ana Mary Robertson, more commonly known as Grandma Moses, was definitely a late bloomer. For most of her life, she enjoyed working on her Virginia farm, selling potato chips and embroidering intricate pictures as a hobby. Advancing age and arthritis caused her to retire to her daughter's home in her 80s, and it became difficult for her to hold embroidery needles without pain. Her sister suggested she try painting instead, and Robertson decided to channel her creative talents there. Good thing she picked up the paint brush because she became known as one of the greatest American folk artists, creating several well-known pieces of art and selling out art exhibitions around the country.</p><h3><b>Colonel Sanders</b></h3><p>While most people know the colonel as the head of Kentucky Fried Chicken, he also held many other jobs during his earlier life. After falsifying documents to join the United States Army at the age of 15, he went on to hold various other jobs including insurance salesman, firefighter for the railroad, steamboat pilot and even farmer. At the age of 40, he opened up a service station; he also cooked steaks, country ham and chicken dishes. With his reputation for good food growing, he moved to a 142-seat restaurant adjoining a motel, where he created the now-famous recipe for Kentucky Fried Chicken. When the opening of a new interstate cut into his profits, he decided to take his show on the road and he started franchising KFC nationwide.</p><div><div><h3><b>Vera Wang</b></h3><p>Most people know Vera Wang as a famous fashion designer. Few people realize that Vera was once a talented figure skater, a career path that ended with her failure to make the U.S. Olympics team. She began a new career as an editor at Vogue magazine but was passed over for the position of editor-in-chief at the magazine. She then threw herself into her love of fashion. At the age of 40, she started designing wedding dresses and has become one of the most famous fashion designers of our time.</p><p>Use these people as inspiration for considering a new career after 40. Start your search at <a href=""http://www.simplyhired.com/"">Simply Hired</a> today!</p></div></div>"
Job Search Tips,Already Have a Job? Try a Passive Job Search,"<p></p><div><h1><strong>Already Have a Job? Try a Passive Job Search</strong><br></h1><p></p></div><div><div><div></div></div></div><p></p><p>Even if you're content at your current job, it is always a good idea to keep an eye out for better positions. Doing so doesn't require much effort, and you never know what kinds of opportunities you will discover. Here are some tips to help you with your passive job search.<br></p> <h3>The Advantages of Passive Job Search</h3> <p>According to the human resources publication<a href=""http://www.tlnt.com/2011/03/08/survey-74-of-workers-are-passive-job-seekers-ready-to-consider-a-move/"">TLNT</a>, although the majority of workers in the U.S. claim to be satisfied with their jobs, research shows that about three quarters of them would switch jobs if a better opportunity came along. Common reasons for changing jobs include better pay and benefits, more advancement opportunities and a desire for change. <br></p> <p><a href=""http://www.forbes.com/sites/jeannemeister/2012/08/14/job-hopping-is-the-new-normal-for-millennials-three-ways-to-prevent-a-human-resource-nightmare/"">Forbes</a> reports that most Millennials, those who were born between 1977 and 1997, expect to stay at the same job for less than three years. They might go through 15 or more jobs throughout their lifetimes. Because job-hopping is becoming common, recruiters are beginning to see it as a sign of ambition among applicants who are not willing to settle for a job that doesn't leave them fulfilled.<br></p> <h3>How to Start Passively Look for a Job </h3> <p>Be discreet. You don't want to risk losing your current position by allowing your boss or co-workers to find out about your job search. For this reason, any activities you conduct should be anonymous. Websites like <a href=""http://www.simplyhired.com/"">Simply Hired</a> make it easy for you to set up e-mail job alerts for one or many positions. Just be sure to check these emails at home or on your personal cell phone.</p><p></p><p> </p><h3>Use Social Media for Your Search <br></h3> <p>As you wait for the right position to open, you should track companies you would love to work for. Reading their social media updates can give you some insight into the company, including whether there are job openings. Just remember not to show your interest publicly, such as by commenting on job listings, since your current employer could see it. <br></p> <p>In addition, the<a href=""http://www.careereducation.columbia.edu/resources/tipsheets/finding-job-using-social-media-intro"">Columbia University Center for Career Education</a> recommends that you keep your social media profiles updated at all times. This is an effective method for catching the eye of recruiters. And this way, you do not have to scramble to update your information once your passive job search begins, which could tip off your current employer. <br></p> <h3>Take Advantage of Anonymous Settings on Job Boards <br></h3> <p>One of the easiest ways to search passively is to post your resume on job boards. This only requires a few minutes of your time, and it could lead to a company finding you. Of course, make sure your resume cannot be seen by the public. Private settings on job boards remove your name and other identifying information, ensuring that recruiters only see your skills and experience before contacting you through the board to learn more. <br></p> <h3>Network with People You Know <br></h3> <p>One final tip: leverage your network of professional contacts and acquaintances during your passive job search. Of course, your coworkers and boss should be exempt from this group. But if you have friends who often rave about their jobs, there's no harm in asking them to let you know each time their company is hiring. Also, if you belong to an alumni association or a professional group for people in your industry, simply staying in touch and discussing careers is an easy way to hear about the latest job openings.</p>"
Interviews,Avoid Saying These Words During Job Interviews,"<h1>Avoid Saying These Words During Job Interviews</h1><p>If you're not acing your job interviews, the words you use could be part of the problem. Fortunately for you, something like your vocabulary is fairly easy to fix. Here are eight words you should avoid during interviews and why. <br></p> <p><b>1. Try </b></p> <p><a href=""http://www.psychologytoday.com/blog/passive-aggressive-diaries/201005/passive-aggressive-words-in-the-workplace"">Psychology Today</a> calls this word a passive aggressive term that you should not use in any field. It can suggest that you do not plan to give a particular task all of your effort, which won't impress many interviewers. Using this word can also indicate that you lack passion, since it is noncommittal. <br></p> <p><b>2. Maybe </b></p> <p>This is another noncommittal word. It doesn't display any confidence in your ability to make a decision or complete a task. <br></p> <p><b>3. Grueling </b></p> <p>Even if you are describing a difficult project at your last job, or are somehow putting this word into a positive context, it probably won't help you win favor with interviewers. That's because, according to <a href=""http://www.livescience.com/6285-words-hurt.html"">Live Science</a>, studies show that the brain has a negative reaction to words that describe pain. In fact, such terms can bring on memories of painful experiences in others. This is not how you want your interviewer to remember you. So be sure to stay away from ""grueling,"" ""tormenting,"" ""torture"" and similar words that run the risk of triggering bad associations.</p> <p><b>4. Fired </b></p> <p>Studies show that the brain remembers bad things more clearly than good things. When you bring up words with negative connotations, including ""fired"" or ""terminated,"" it could leave a bad impression with interviewers since they will remember the negative things you said more than the positive. <br></p> <p><b>5. Workaholic </b></p> <p>You might assume that being a workaholic is appealing to employers, but <a href=""http://management.fortune.cnn.com/2013/05/10/classic-interview-mistakes/"">Fortune</a> reports that it could indicate that you do not know how to prioritize. If you have to work overtime on a consistent basis just to get the job done, you might not be very effective at work during regular hours. Plus, not all employers want someone chained to the desk; many want you to be well-rounded as a person. <br></p> <p><b>6. We </b></p> <p>Try to avoid using this word much, if at all. You might want to show that you can work well in a team, but according to <a href=""http://blog.chron.com/careerrescue/2012/11/dont-say-that-phrases-to-avoid-during-an-interview/"">The Houston Chronicle</a>, emphasizing this word might give the impression that you cannot work on projects alone. Remember that you are the one in the interview, not your coworkers, so focus on what you in particular can bring to the table. <br></p> <p><b>7. Innovative </b></p> <p>It can be tempting to use this adjective to describe yourself, especially when you're interviewing for a company that encourages creativity and outside-the-box thinking. This is just one of many overused buzzwords that employers are tired of hearing. Similar words to avoid include ""motivated,"" ""entrepreneurial"" and ""dynamic."" <br></p> <p><b>8. Impossible </b></p> <p>This word can indicate that you are not willing to rise to the challenge to get something done. In fact, <a href=""http://blog.grantham.edu/blog/bid/143814/5-Words-to-Erase-from-Your-Vocabulary-in-Job-Interviews"">Grantham University</a> reports that it can make you come off as lazy or unwilling to work to meet a goal. As you'll find in all job interviews you go to, employers are not interested in hiring job applicants who give up before they even get started on a task. </p><p>Steer clear of the above words on your job interviews and you will leave a much better impression and increase your chances of getting hired.</p>"
Career,Careers: Taste Tester,"<h2>Careers: Taste Tester</h2><p></p><p>The life of a professional taste tester is an enviable one. Who doesn't dream of trying out new foods and drinks on a regular basis and getting paid for their opinion? To be hired as a taste tester in the food industry, you don't need a university degree or specific training; however, if you do have the right education or training, you will go to the top of the resume pile. Careers in this industry are highly coveted.</p><p> All food and beverage testing facilities need testers to ensure not only that their products are palatable, but that they are consistent. According to <a href=""http://www.today.com/food/truth-about-being-taste-tester-its-not-always-tasty-1C8427211"">Today Food</a>, developing a finely-tuned palette that is capable of discerning the slight differences from one batch of coffee-flavored ice cream to the next is important for would-be professional taste testers. Such a palette and the ability to communicate easily with product developers are the most important qualities of a taste tester. Specific qualifications vary between employers, but there are a few characteristics that will appeal to employers looking for food and beverage testers.</p><p></p><h3><b>Top Qualifications of a Taste Tester</b></h3><p></p><p></p><ul><li>Food service experience<br></li><li>Food science degree<br></li><li>Strong sensory abilities</li><li>Flexible schedule<br></li><li>Detail-oriented<br></li><li>Outgoing personality<br></li></ul><p></p><p>Experience as a cook, a chef or even a waiter can make you more appealing to food industry employers because they will know you have certain knowledge of the way food is prepared. In addition to these qualifications, education in food science is a bonus for anyone looking for careers in taste-testing.</p><p>Food science courses teach you about the biology of natural foods as well as the chemical properties of natural and processed foods. Armed with this knowledge, educated job applicants are more likely to be hired as food testers because they will already understand key concepts. However, they will still be tested for their sensory ability, which is a crucial qualification of the job.</p><h3><b>On-Site Training</b></h3><p></p><p>Being hired as a taste tester is not contingent on holding a degree. What matters is a passion and drive to succeed, as well as a finely-tuned sensory ability. If an applicant has those, they stand a good chance of finding a job testing food and beverages. In many cases, employers will pick applicants that best meet their job requirements and offer them on-site training.</p><h3><b>Taste-Testing Testimony</b></h3><p> <a href=""http://flavorman.com/the-perks-and-quirks-of-a-professional-taste-tester/"">Kristen Wemer</a> is a professional taste tester who started working in the industry during college. ""Ive been able to parlay my passion for flavors into a career where companies actually pay me money to taste and evaluate various items.<em>Think dream job!</em>I began as an intern tasting oils. Next, I climbed a level in the food pyramid to a stint tasting milk in the quality lab of a dairy. Ok, so dream job is relevant, but it gets better.""</p><p>Wemer started small and worked her way into a full-time position tasting various types of products as part of quality control. She loves her job, but says there are some days she will never forget when a poor-quality product touched her taste buds. Despite the drawbacks of testing products that should never see a grocery store shelf, Wemer finds her job stimulating and in tune with her creativity and culinary appetite.<br></p><h3><b>Salary of a Taste Tester</b></h3><p>Training programs for these careers will likely be paid, and afterwards result in part or half-time employment as is needed by the company. Because the senses become fatigued, a taste tester generally works no more than two hours at a time. <a href=""http://www.foxnews.com/story/2004/01/13/professional-tasters-eat-and-drink-for-living/"">Fox News</a> reports that entry-level taste testers make between $30,000 and $60,000 a year. Not bad for a job that involves eating!</p>"
Career,Everything You Ever Wanted to Know About Security Jobs,"<h1>Everything You Ever Wanted to Know About Security Jobs</h1><p>Security jobs can be a personally rewarding way to make a living. As a security guard, you might help keep others safe or guard a place that's important to a community. If you're interested in security jobs, here's a primer to get you started.</p><h3>Security Jobs Qualifications</h3><p>The qualifications you need to work as a security guard vary by state, employer and whether you are armed or unarmed.</p><p>These examples will help you better understand the qualifications.</p><p>If you want to work as a security guard in the state of <a href=""http://www.bsis.ca.gov/forms_pubs/guard_fact.shtml"">California</a>, you need:</p><ul><li>A valid security guard registration</li><li>A valid photo ID</li><li>To be 18 years or older</li><li>To pass a background check</li><li>To complete 40 hours of required training</li><li>To pass an exam to become certified</li></ul><p>The State of <a href="" http://www.tn.gov/regboards/pps/usgoReqs.shtml"">Tennessees</a> requirements are a bit more thorough.</p><ul><li>Be 18 years or older</li><li>Be legal to work in the U.S</li><li>Be mentally competent</li><li>Be of good moral character</li><li>Be free of chemical addiction</li><li>Be physically able to perform your duties</li><li>Be free of convictions involving firearms, shoplifting and violence</li><li>Submit to a background check</li><li>Meet training requirements, including a four-hour basic course and one-hour courses in orientation, legal powers and limitations of a security guard/officer, emergency procedures and general duties</li></ul><p>You may also need special training in order to carry a firearm, which will increase your opportunities for advancement and your wages.</p><h3>The Risks</h3><p><a></a>Being a security guard comes with risk. According to the <a href=""http://www.bls.gov/iif/oshwc/osh/os/osar0009.pdf"">U.S. Bureau of Labor Statistics</a>, there were 9.4 security guard fatalities per 100,000 workers in 2007, which was the most recent year this data was made publicly available. These statistics do fluctuate slightly. For example, 2006 only saw 8.7 fatalities per 100,000 security guards. However, there are consistently higher rates of homicide deaths among security guards than in the average workforce population.</p><p>This shouldnt be surprising considering that organizations hire security guards to protect their workers, their property and their customers. Security guards are hired to face danger. This is why security guards also receive training, equipment and support to help them keep themselves and others safe. Proper training and conscientious performance can reduce the risk of workplace injury or death.</p><h3>The Pay</h3><p>The <a href=""http://www.bls.gov/oes/current/oes339032.htm"">median hourly wage for security guards working in the U.S.</a> is $11.52 per hour or $23,970 per year. That can vary, ranging as low as $8.36 per hour or $17,390 per year to as high as $20.43 per hour or $42,490 per year. There are over one million security guards working across the country, and it is viewed as a good job for physically able men and women who are willing to take risks in order to help keep others safe.</p><p></p>"
Interviews,Government Jobs that Pay Well,"<h1><b>5 Government Jobs that Pay Well</b></h1> <p>While jobs in the private sector often pay well, the recession and layoffs have led some workers into lower-paying jobs that were not part of their career plans. For those willing to look at a new career plane, government jobs offer stability and pay that are competitive and often top the private sector.</p><p>More than 21 million people work for the U.S. federal, state and local government, including government-owned schools and hospitals and the U.S. Postal Service. Many of these are high-paying government jobs that are in demand year after year. The average annual wage for a government employee across all levels and positions is $51,840, which is higher than the average of $45,230 for all workers in the economy.</p><p>The best-paid government employees are highly educated professionals at the federal level, but, in general, these lawyers earn less than comparable positions in the private sector. However, government employees often have much better benefit plans than those in the private sector.<b><br></b></p><h3><b>Attorney</b></h3>Attorneys who work for the federal government can expect to earn around $115,000 per year. Their local and state counterparts make between $75,000 and $80,000 annually. Attorneys who work in government argue cases in state and federal court create procedures and programs and interpret existing laws.<br><h3><b>Computer scientist</b></h3>Computer scientists do a wide range ofwork within the government, including research, technical theory, business and technology. These experts also manage, develop and administer the government's computer databases and record storage systems. An entry-level computer scientist will make around $90,000.<b><br></b><h3><b>Astronomer</b></h3>If you are a trained star-gazer, the U.S. Government wants you and will pay good money. Some of the highest-paid government positions that are non-political are astronomers. At around $116,000 per year, they make more than a government attorney and probably have less stress and more fun. These experts are not just star-gazers; they are aeronautical imagery analysts and astronauts. They work within NASA as well as the U.S. Army and Air Force.<b><br></b><h3><b>Finance manager</b></h3>This is a well-paying position that is in demand at every government level from federal all the way to local municipal offices. If you have a degree in finance or a related master's, you can expect to earn around $100,000 to start. With job descriptions that include budgeting, planning, developing fiscal programs and managing department payrolls, expect to be busy.<br><h3><b>Engineer</b></h3>Engineers who start their careers with the U.S. federal government earn a base salary of around $100,000. A bachelors degree in engineering is required as a minimum. The National Institute of Health (NIH) offers an internship program to help interested candidates. Engineers work within many departments of local, state and federal government, including planning, code enforcement, building and project management.<p></p><h3>Where Are the Government Jobs?</h3><p>The U.S. Department of Justice and the Department of Treasury routinely hire attorneys to work in their respective departments. The Navy, Army and Department of the Interior employ civilian computer scientists to keep their operations running smoothly. NASA hires astronomers, mathematicians and engineers to develop and maintain programs that keep astronauts safe and explore our solar system. State, federal and local comptroller departments hire many finance managers; this is one of the most in-demand positions sought by government agencies. The Department of Treasury and Department of Veterans Affairs routinely hire finance managers.</p><p>Those seeking careers in local, state or county government have many options and training avenues to decide on.</p><p>You can get started on your search for a government job at <a href=""http://www.simplyhired.com/a/jobs/list/q-government"">Simply Hired</a>.</p>"
Resumes,Great Opening Lines from Cover Letters,"<h1><b>Great Opening Lines From Cover Letters</b></h1> <p>If youre in the market for a new job, its time to focus on writing killer opening lines for your cover letters. Hiring employers sift through cover letters when searching for the right candidate, and you want to be one of the few who leaves an impression. Most employers will just scan the first few lines of your cover letter, and if nothing grabs them right away, it's likely they will move on to the next application.</p> <p>Your opening line should be good. It has to show the hiring employer why you are the right person for the job and also keep him or her interested. <a href=""http://careergirlnetwork.com/4-cover-letter-openers-that-score-the-interview/?goback=%2Egde_3135001_member_227615972#%21"">Marcy Twete, author of <i>You Know Everybody! A Career Girls Guide to Building a Network That Works</i></a>, claims that the opener should answer the following questions:</p> <p></p><ul><li>What is amazing about what youve done recently that this company needs?<br></li><li>How do you fit the role better than anyone else?</li><li>Why are you the best fit for the company?</li><li>Do you have the experience and the strengths this job needs? Why?</li></ul><p></p> <p></p> <p>How do you cram all that into the opening sentence or two? Here are a few good examples:</p> <h3>Use Humor, If You're Humorous</h3><p>One cover letter that has gone viral took a humorous andnarcissisticapproach.</p><p>It began:</p><p>""This position is exactly the job I'm looking for! Forget all the other candidates for Aviary, I am the BEST..."" It goes on to describe how awesome the applicant was at everything.</p> <p><a href=""http://www.huffingtonpost.com/2011/05/23/epic-cover-letter_n_865569.html"">This example is pretty extreme</a>, but the point here is to use humor to convey your individuality, sense of humor and personality while remaining professional. Remember, employers read through tons of cover letters and they tend to be a bit boring. If you can write a witty cover letter, it could increase your chances of landing an interview. </p> <h3>Be Confident and Straightforward</h3><p>Ask A Manager presents an<a href=""http://www.askamanager.org/2011/09/great-cover-letter.html"">example of a cover letter</a>that hooks the reader right away. It projects confidence and also piques curiosity. Now the employer will want to read on to find out<i>why</i>you are the best person for the job.</p> <p>""Dear ___,</p> <p>As soon as I saw your posting for a ____, I knew it was the perfect position for me and that I was the perfect solution for you. Let me explain further:""</p><h3>Name Drop</h3> <p><a href=""http://www.forbes.com/sites/susanadams/2011/03/24/how-to-write-a-cover-letter/"">Forbes No. 1 piece of advice</a> is to put the name of a mutual contact (if you have one) into the first line to immediately set you apart from all the other applicants. It also suggests making your cover letter into a story by telling an anecdote or connecting the information in a more interesting way than just stating facts.</p><h3>Be Visual: Use a Chart</h3> <p><a href=""http://blog.brazencareerist.com/2013/05/28/5-creative-cover-letters-that-worked/"">Rachel Kaufman</a> suggests opening with a chart listing the companys job requirements on the left of the page and your matching qualifications on the right side. This can be more visually appealing than looking at blocks of paragraphs and will make the letter easier to scan. Start with what you think is the most important requirement or the one about which you feel most confident.</p><p>Whichever tactic you choose, put extra effort into making the opening lines of your cover letter a winner.</p>"
Career,How Many Job Changes in a Career is Normal,"<h1><b>How Many Job Changes in a Career is Normal?</b></h1><p>The Bureau of Labor Statistics does not track job changes, so hard data concerning how many job changes are normal in a career does not exist. However, one of the most repeated claims in recent years is that the average worker will have seven different jobs in his or her lifetime.</p><p><a href=""http://online.wsj.com/news/articles/SB10001424052748704206804575468162805877990"">How exactly the number seven gained traction remains a mystery</a>. Some job experts and economists claim that such a high number is implausible, but there are workers who have changed jobs that many times or more, so it's not impossible. Millennials are known for changing jobs quite frequently.</p><p>The Millennial generation includes those people born between 1977 and 1997. According to a <a href=""http://www.forbes.com/sites/jeannemeister/2012/08/14/job-hopping-is-the-new-normal-for-millennials-three-ways-to-prevent-a-human-resource-nightmare/"">survey by Future Workplace</a> entitled ""Multiple Generations at Work,"" 91 percent of Millennials expect to stay at a job for less than three years. With that figure, Millennials will experience about 15 to 20 career changes in a lifetime.To think, job researchers and economists think that<i>seven</i>job changes in a career is considered high.<br></p><h3>Nothing New</h3><p></p><p>It sounds like a new trend, but early and frequent job changes have always been common. Most people do not stay at the same job they had in high school for their entire lives, or remain in their college jobs, and many don't remain at their first post-college, entry-level position for a lifetime.</p><p>Even the Baby Boomers shopped around settling down at a particular position or company. It often takes more than one or two jobs before a person finds solid footing in the workforce. Statistics from the Labor Department, however, suggest the amount of time American adults have spent with the same employer hasnt changed much over the years:</p><p></p><ul><li>In 1996, 9 percent of workers had been with their employer for 20 years or more. In 2008, 10.3 percent of workers had been with the same employer for at least 20 years.</li><li>In 1996, the average workers tenure with his or her current employer was 3.8 years. In 2000, that number had dropped slightly to 3.5 years; but by 2008, it had risen to 4.1 years.</li></ul><p></p><p><a></a>The statistics from 2008 represent the latest available data, so take these stats with a small grain of salt. The workscape changed dramatically with the 2008 recession and its aftermath.</p><p></p><h3><b>What Can You Do to Be Prepared for Job Changes?</b></h3><p></p><p>If job hopping is the norm, then job seekers need to be versatile. Workers must adapt to the changing workforce. It's no longer just a question of going to college to become better prepared for a particular job; it's the realization that you may need to go back to school again, learn a trade or get an alternative certificate later in your career. After all, it's always good to keep one's options open regarding opportunities that may present themselves. Remain flexible and diversified if you feel there are other outlets for you to explore professionally.</p><p></p><p>The American author F. Scott Fitzgerald famously said, ""There are no second acts in American lives."" Not so, F. Scott. Apparently there are seven acts, and what's considered a normal number of job changes in a career is only going to keep changing.</p><p></p><p></p><p></p><p></p><p></p><p></p>"
